Species,Set,Isolate,Rep,Whole Shoot,Roots,Number Plants,Weight per root,Weight per shoot
Pythium orthogonon,Set_6-1,KSSO_5-44,R1,810,370,5,74,162
Pythium orthogonon,Set_6-1,KSSO_5-44,R2,840,360,5,72,168
Pythium orthogonon,Set_6-1,KSSO_5-44,R3,780,320,5,64,156
Pythium sp. balticum,Set_6-1,MISO_10-33,R1,910,370,5,74,182
Pythium sp. balticum,Set_6-1,MISO_10-33,R2,890,400,5,80,178
Pythium sp. balticum,Set_6-1,MISO_10-33,R3,910,320,5,64,182
Pythium pleroticum,Set_6-1,MNSO_2-10,R1,900,350,5,70,180
Pythium pleroticum,Set_6-1,MNSO_2-10,R2,860,370,5,74,172
Pythium pleroticum,Set_6-1,MNSO_2-10,R3,750,300,5,60,150
Pythium orthogonon,Set_6-1,NDSO_4-17,R1,1020,400,5,80,204
Pythium orthogonon,Set_6-1,NDSO_4-17,R2,860,390,5,78,172
Pythium orthogonon,Set_6-1,NDSO_4-17,R3,910,400,5,80,182
Pythium intermedium,Set_6-1,NDSO_5-35,R1,830,430,5,86,166
Pythium intermedium,Set_6-1,NDSO_5-35,R2,860,230,5,46,172
Pythium intermedium,Set_6-1,NDSO_5-35,R3,940,400,5,80,188
Pythium conidiophorum,Set_6-1,V-ILSO2_5-55,R1,840,400,5,80,168
Pythium conidiophorum,Set_6-1,V-ILSO2_5-55,R2,940,420,5,84,188
Pythium conidiophorum,Set_6-1,V-ILSO2_5-55,R3,1110,400,5,80,222
Pythium nunn,Set_6-1,V-KSSO2_6-7,R1,780,330,5,66,156
Pythium nunn,Set_6-1,V-KSSO2_6-7,R2,810,280,5,56,162
Pythium nunn,Set_6-1,V-KSSO2_6-7,R3,940,410,5,82,188
Pythium intermedium,Set_6-1,V-MNSO2_6-60,R1,620,50,5,10,124
Pythium intermedium,Set_6-1,V-MNSO2_6-60,R2,520,0,5,0,104
Pythium intermedium,Set_6-1,V-MNSO2_6-60,R3,380,30,5,6,76
Pythium conidiophorum,Set_6-1,V-NESO2_2-41,R1,710,380,5,76,142
Pythium conidiophorum,Set_6-1,V-NESO2_2-41,R2,990,510,5,102,198
Pythium conidiophorum,Set_6-1,V-NESO2_2-41,R3,960,440,5,88,192
Pythium nunn,Set_6-1,V-SDSO2_4-65,R1,860,300,5,60,172
Pythium nunn,Set_6-1,V-SDSO2_4-65,R2,800,420,5,84,160
Pythium nunn,Set_6-1,V-SDSO2_4-65,R3,740,220,5,44,148
CONTROL_NR,Set_6-1,CONTROL_NR,R1,900,500,5,100,180
CONTROL_NR,Set_6-1,CONTROL_NR,R2,940,400,5,80,188
CONTROL_NR,Set_6-1,CONTROL_NR,R3,1030,490,5,98,206
Pythium pleroticum,Set_6-2,C-ARSO2_3-13,R1,810,290,5,58,162
Pythium pleroticum,Set_6-2,C-ARSO2_3-13,R2,1080,360,5,72,216
Pythium pleroticum,Set_6-2,C-ARSO2_3-13,R3,1010,260,5,52,202
Pythium amasculinum,Set_6-2,C-ARSO2_4-4,R1,1070,380,5,76,214
Pythium amasculinum,Set_6-2,C-ARSO2_4-4,R2,930,310,5,62,186
Pythium amasculinum,Set_6-2,C-ARSO2_4-4,R3,1000,330,5,66,200
Pythium nunn,Set_6-2,C-INSO2_6-13,R1,660,310,5,62,132
Pythium nunn,Set_6-2,C-INSO2_6-13,R2,1050,320,5,64,210
Pythium nunn,Set_6-2,C-INSO2_6-13,R3,890,260,5,52,178
Pythium coloratum,Set_6-2,C-MISO2_2-12,R1,890,260,5,52,178
Pythium coloratum,Set_6-2,C-MISO2_2-12,R2,680,180,5,36,136
Pythium coloratum,Set_6-2,C-MISO2_2-12,R3,930,300,5,60,186
Pythium coloratum,Set_6-2,C-MNSO2_3-2,R1,1020,300,5,60,204
Pythium coloratum,Set_6-2,C-MNSO2_3-2,R2,870,320,5,64,174
Pythium coloratum,Set_6-2,C-MNSO2_3-2,R3,750,180,5,36,150
Pythium pachycaule,Set_6-2,C-MNSO2_4-4,R1,1040,410,5,82,208
Pythium pachycaule,Set_6-2,C-MNSO2_4-4,R2,780,250,5,50,156
Pythium pachycaule,Set_6-2,C-MNSO2_4-4,R3,750,230,5,46,150
Pythium amasculinum,Set_6-2,C-MNSO2_5-12,R1,730,260,5,52,146
Pythium amasculinum,Set_6-2,C-MNSO2_5-12,R2,700,260,5,52,140
Pythium amasculinum,Set_6-2,C-MNSO2_5-12,R3,870,300,5,60,174
Pythium pachycaule,Set_6-2,C-NESO2_5-17,R1,1100,330,5,66,220
Pythium pachycaule,Set_6-2,C-NESO2_5-17,R2,1120,400,5,80,224
Pythium pachycaule,Set_6-2,C-NESO2_5-17,R3,810,320,5,64,162
Pythium aphanidermatum,Set_6-2,C-NESO2_6-2,R1,540,180,5,36,108
Pythium aphanidermatum,Set_6-2,C-NESO2_6-2,R2,680,120,5,24,136
Pythium aphanidermatum,Set_6-2,C-NESO2_6-2,R3,740,220,5,44,148
Pythium intermedium,Set_6-2,C-SDSO2_5-35,R1,550,120,5,24,110
Pythium intermedium,Set_6-2,C-SDSO2_5-35,R2,910,190,5,38,182
Pythium intermedium,Set_6-2,C-SDSO2_5-35,R3,880,180,5,36,176
Pythium orthogonon,Set_6-2,C-SDSO2_6-2,R1,840,360,5,72,168
Pythium orthogonon,Set_6-2,C-SDSO2_6-2,R2,1000,320,5,64,200
Pythium orthogonon,Set_6-2,C-SDSO2_6-2,R3,990,260,5,52,198
CONTROL,Set_6-2,CONTROL,R1,910,280,5,56,182
CONTROL,Set_6-2,CONTROL,R2,950,300,5,60,190
CONTROL,Set_6-2,CONTROL,R3,820,240,5,48,164
Pythium conidiophorum,Set_6-2,IASO_10-37.7H,R1,810,260,5,52,162
Pythium conidiophorum,Set_6-2,IASO_10-37.7H,R2,820,230,5,46,164
Pythium conidiophorum,Set_6-2,IASO_10-37.7H,R3,970,370,5,74,194
Pythium pachycaule,Set_6-2,IASO_8-30.4RD,R1,670,260,5,52,134
Pythium pachycaule,Set_6-2,IASO_8-30.4RD,R2,940,340,5,68,188
Pythium pachycaule,Set_6-2,IASO_8-30.4RD,R3,930,340,5,68,186
Pythium sp. balticum,Set_6-2,ILSO_5-1A,R1,690,180,5,36,138
Pythium sp. balticum,Set_6-2,ILSO_5-1A,R2,870,350,5,70,174
Pythium sp. balticum,Set_6-2,ILSO_5-1A,R3,820,270,5,54,164
Pythium aphanidermatum,Set_6-2,ILSO_6-13C_1,R1,570,180,5,36,114
Pythium aphanidermatum,Set_6-2,ILSO_6-13C_1,R2,920,340,5,68,184
Pythium aphanidermatum,Set_6-2,ILSO_6-13C_1,R3,870,320,5,64,174
Pythium sp. balticum,Set_6-2,INSO_2-47,R1,1010,340,5,68,202
Pythium sp. balticum,Set_6-2,INSO_2-47,R2,790,310,5,62,158
Pythium sp. balticum,Set_6-2,INSO_2-47,R3,1050,330,5,66,210
Pythium pleroticum,Set_6-2,INSO_3-10,R1,740,310,5,62,148
Pythium pleroticum,Set_6-2,INSO_3-10,R2,990,340,5,68,198
Pythium pleroticum,Set_6-2,INSO_3-10,R3,750,300,5,60,150
Pythium aphanidermatum,Set_6-2,INSO_4-33,R1,890,190,5,38,178
Pythium aphanidermatum,Set_6-2,INSO_4-33,R2,930,310,5,62,186
Pythium aphanidermatum,Set_6-2,INSO_4-33,R3,930,310,5,62,186
Pythium amasculinum,Set_6-2,KSSO_4-31,R1,910,380,5,76,182
Pythium amasculinum,Set_6-2,KSSO_4-31,R2,990,490,5,98,198
Pythium amasculinum,Set_6-2,KSSO_4-31,R3,760,310,5,62,152
Pythium orthogonon,Set_6-2,KSSO_5-44,R1,1080,410,5,82,216
Pythium orthogonon,Set_6-2,KSSO_5-44,R2,900,280,5,56,180
Pythium orthogonon,Set_6-2,KSSO_5-44,R3,940,320,5,64,188
Pythium sp. balticum,Set_6-2,MISO_10-33,R1,910,350,5,70,182
Pythium sp. balticum,Set_6-2,MISO_10-33,R2,700,260,5,52,140
Pythium sp. balticum,Set_6-2,MISO_10-33,R3,990,390,5,78,198
Pythium pleroticum,Set_6-2,MNSO_2-10,R1,910,290,5,58,182
Pythium pleroticum,Set_6-2,MNSO_2-10,R2,850,320,5,64,170
Pythium pleroticum,Set_6-2,MNSO_2-10,R3,680,260,5,52,136
Pythium orthogonon,Set_6-2,NDSO_4-17,R1,1040,340,5,68,208
Pythium orthogonon,Set_6-2,NDSO_4-17,R2,810,230,5,46,162
Pythium orthogonon,Set_6-2,NDSO_4-17,R3,1000,420,5,84,200
Pythium intermedium,Set_6-2,NDSO_5-35,R1,820,270,5,54,164
Pythium intermedium,Set_6-2,NDSO_5-35,R2,800,250,5,50,160
Pythium intermedium,Set_6-2,NDSO_5-35,R3,890,400,5,80,178
Pythium conidiophorum,Set_6-2,V-ILSO2_5-55,R1,960,200,5,40,192
Pythium conidiophorum,Set_6-2,V-ILSO2_5-55,R2,870,280,5,56,174
Pythium conidiophorum,Set_6-2,V-ILSO2_5-55,R3,700,140,5,28,140
Pythium nunn,Set_6-2,V-KSSO2_6-7,R1,860,360,5,72,172
Pythium nunn,Set_6-2,V-KSSO2_6-7,R2,760,350,5,70,152
Pythium nunn,Set_6-2,V-KSSO2_6-7,R3,850,360,5,72,170
Pythium intermedium,Set_6-2,V-MNSO2_6-60,R1,130,0,5,0,26
Pythium intermedium,Set_6-2,V-MNSO2_6-60,R2,100,0,5,0,20
Pythium intermedium,Set_6-2,V-MNSO2_6-60,R3,360,10,5,2,72
Pythium conidiophorum,Set_6-2,V-NESO2_2-41,R1,730,230,5,46,146
Pythium conidiophorum,Set_6-2,V-NESO2_2-41,R2,970,300,5,60,194
Pythium conidiophorum,Set_6-2,V-NESO2_2-41,R3,890,320,5,64,178
Pythium nunn,Set_6-2,V-SDSO2_4-65,R1,880,170,5,34,176
Pythium nunn,Set_6-2,V-SDSO2_4-65,R2,860,350,5,70,172
Pythium nunn,Set_6-2,V-SDSO2_4-65,R3,950,270,5,54,190
CONTROL_NR,Set_6-2,CONTROL_NR,R1,1230,470,5,94,246
CONTROL_NR,Set_6-2,CONTROL_NR,R2,980,300,5,60,196
CONTROL_NR,Set_6-2,CONTROL_NR,R3,1030,400,5,80,206
Pythium hypogynum,Set_5-3,C-ARSO2_3-12,R1,900,240,5,48,180
Pythium hypogynum,Set_5-3,C-ARSO2_3-12,R2,810,250,5,50,162
Pythium hypogynum,Set_5-3,C-ARSO2_3-12,R3,800,280,5,56,160
Pythium middletonii,Set_5-3,C-ARSO2_5-1,R1,840,250,5,50,168
Pythium middletonii,Set_5-3,C-ARSO2_5-1,R2,850,220,5,44,170
Pythium middletonii,Set_5-3,C-ARSO2_5-1,R3,800,300,5,60,160
Pythium arrhenomanes,Set_5-3,C-ILSO2_1-1,R1,930,270,5,54,186
Pythium arrhenomanes,Set_5-3,C-ILSO2_1-1,R2,790,270,5,54,158
Pythium arrhenomanes,Set_5-3,C-ILSO2_1-1,R3,930,340,5,68,186
Pythium aristosporum,Set_5-3,C-ILSO2_1-13,R1,780,290,5,58,156
Pythium aristosporum,Set_5-3,C-ILSO2_1-13,R2,900,320,5,64,180
Pythium aristosporum,Set_5-3,C-ILSO2_1-13,R3,750,270,5,54,150
Pythium arrhenomanes,Set_5-3,C-ILSO2_1-3,R1,780,280,5,56,156
Pythium arrhenomanes,Set_5-3,C-ILSO2_1-3,R2,740,280,5,56,148
Pythium arrhenomanes,Set_5-3,C-ILSO2_1-3,R3,730,240,5,48,146
Phytopythium litorale,Set_5-3,C-KSSO2_1-25,R1,730,220,5,44,146
Phytopythium litorale,Set_5-3,C-KSSO2_1-25,R2,670,260,5,52,134
Phytopythium litorale,Set_5-3,C-KSSO2_1-25,R3,800,300,5,60,160
Phytopythium mercuriale,Set_5-3,C-KSSO2_2-15,R1,850,320,5,64,170
Phytopythium mercuriale,Set_5-3,C-KSSO2_2-15,R2,850,250,5,50,170
Phytopythium mercuriale,Set_5-3,C-KSSO2_2-15,R3,750,290,5,58,150
Pythium hypogynum,Set_5-3,C-KSSO2_6-21,R1,690,320,5,64,138
Pythium hypogynum,Set_5-3,C-KSSO2_6-21,R2,810,320,5,64,162
Pythium hypogynum,Set_5-3,C-KSSO2_6-21,R3,750,280,5,56,150
Pythium hypogynum,Set_5-3,C-MISO2_4-1,R1,830,220,5,44,166
Pythium hypogynum,Set_5-3,C-MISO2_4-1,R2,770,320,5,64,154
Pythium hypogynum,Set_5-3,C-MISO2_4-1,R3,760,270,5,54,152
Pythium arrhenomanes,Set_5-3,C-MISO2_4-10,R1,860,260,5,52,172
Pythium arrhenomanes,Set_5-3,C-MISO2_4-10,R2,1160,480,5,96,232
Pythium arrhenomanes,Set_5-3,C-MISO2_4-10,R3,830,260,5,52,166
Pythium nagaii,Set_5-3,C-MNSO2_6-21,R1,1010,410,5,82,202
Pythium nagaii,Set_5-3,C-MNSO2_6-21,R2,860,280,5,56,172
Pythium nagaii,Set_5-3,C-MNSO2_6-21,R3,830,340,5,68,166
Pythium nagaii,Set_5-3,C-NDSO2_1-1,R1,990,320,5,64,198
Pythium nagaii,Set_5-3,C-NDSO2_1-1,R2,920,290,5,58,184
Pythium nagaii,Set_5-3,C-NDSO2_1-1,R3,970,350,5,70,194
Pythium nagaii,Set_5-3,C-NDSO2_6-1,R1,840,250,5,50,168
Pythium nagaii,Set_5-3,C-NDSO2_6-1,R2,730,260,5,52,146
Pythium nagaii,Set_5-3,C-NDSO2_6-1,R3,910,290,5,58,182
CONTROL,Set_5-3,CONTROL,R1,960,290,5,58,192
CONTROL,Set_5-3,CONTROL,R2,800,340,5,68,160
CONTROL,Set_5-3,CONTROL,R3,880,310,5,62,176
Pythium aff. perplexum,Set_5-3,IASO_2-12.11,R1,780,270,5,54,156
Pythium aff. perplexum,Set_5-3,IASO_2-12.11,R2,720,270,5,54,144
Pythium aff. perplexum,Set_5-3,IASO_2-12.11,R3,920,310,5,62,184
Pythium middletonii,Set_5-3,ILSO_6-58C,R1,910,350,5,70,182
Pythium middletonii,Set_5-3,ILSO_6-58C,R2,770,270,5,54,154
Pythium middletonii,Set_5-3,ILSO_6-58C,R3,940,370,5,74,188
Pythium middletonii,Set_5-3,INSO_4-27,R1,800,340,5,68,160
Pythium middletonii,Set_5-3,INSO_4-27,R2,780,280,5,56,156
Pythium middletonii,Set_5-3,INSO_4-27,R3,830,290,5,58,166
Pythium tardicrescens,Set_5-3,KSSO_5-18,R1,590,80,5,16,118
Pythium tardicrescens,Set_5-3,KSSO_5-18,R2,840,190,5,38,168
Pythium tardicrescens,Set_5-3,KSSO_5-18,R3,660,190,5,38,132
Pythium tardicrescens,Set_5-3,MICO_5-13,R1,990,430,5,86,198
Pythium tardicrescens,Set_5-3,MICO_5-13,R2,760,250,5,50,152
Pythium tardicrescens,Set_5-3,MICO_5-13,R3,960,330,5,66,192
Pythium tardicrescens,Set_5-3,MICO_6-11,R1,790,280,5,56,158
Pythium tardicrescens,Set_5-3,MICO_6-11,R2,840,260,5,52,168
Pythium tardicrescens,Set_5-3,MICO_6-11,R3,750,310,5,62,150
Pythium aff. perplexum,Set_5-3,MNSO_2-28,R1,960,340,5,68,192
Pythium aff. perplexum,Set_5-3,MNSO_2-28,R2,1100,400,5,80,220
Pythium aff. perplexum,Set_5-3,MNSO_2-28,R3,1070,360,5,72,214
Pythium kashmirense,Set_5-3,SDSO_7-31,R1,800,280,5,56,160
Pythium kashmirense,Set_5-3,SDSO_7-31,R2,710,230,5,46,142
Pythium kashmirense,Set_5-3,SDSO_7-31,R3,730,240,5,48,146
Phytopythium litorale,Set_5-3,V-IASO2_6-55,R1,840,280,5,56,168
Phytopythium litorale,Set_5-3,V-IASO2_6-55,R2,920,370,5,74,184
Phytopythium litorale,Set_5-3,V-IASO2_6-55,R3,910,310,5,62,182
Pythium kashmirense,Set_5-3,V-ILSO2_4-64,R1,860,390,5,78,172
Pythium kashmirense,Set_5-3,V-ILSO2_4-64,R2,750,200,5,40,150
Pythium kashmirense,Set_5-3,V-ILSO2_4-64,R3,950,380,5,76,190
Pythium aristosporum,Set_5-3,V-MICO2_5-8,R1,840,240,5,48,168
Pythium aristosporum,Set_5-3,V-MICO2_5-8,R2,850,280,5,56,170
Pythium aristosporum,Set_5-3,V-MICO2_5-8,R3,700,280,5,56,140
Pythium aristosporum,Set_5-3,V-NDSO2_6-50,R1,950,470,5,94,190
Pythium aristosporum,Set_5-3,V-NDSO2_6-50,R2,900,350,5,70,180
Pythium aristosporum,Set_5-3,V-NDSO2_6-50,R3,940,350,5,70,188
Phytopythium litorale,Set_5-3,V-NDSO2_6-55,R1,890,230,5,46,178
Phytopythium litorale,Set_5-3,V-NDSO2_6-55,R2,790,320,5,64,158
Phytopythium litorale,Set_5-3,V-NDSO2_6-55,R3,730,300,5,60,146
Phytopythium mercuriale,Set_5-3,V-NESO2_5-41,R1,720,310,5,62,144
Phytopythium mercuriale,Set_5-3,V-NESO2_5-41,R2,770,340,5,68,154
Phytopythium mercuriale,Set_5-3,V-NESO2_5-41,R3,660,290,5,58,132
Phytopythium mercuriale,Set_5-3,V-NESO2_5-43,R1,820,270,5,54,164
Phytopythium mercuriale,Set_5-3,V-NESO2_5-43,R2,780,250,5,50,156
Phytopythium mercuriale,Set_5-3,V-NESO2_5-43,R3,1030,360,5,72,206
Pythium kashmirense,Set_5-3,V-SDSO2_4-64,R1,770,340,5,68,154
Pythium kashmirense,Set_5-3,V-SDSO2_4-64,R2,570,190,5,38,114
Pythium kashmirense,Set_5-3,V-SDSO2_4-64,R3,710,270,5,54,142
Pythium aff. perplexum,Set_5-3,WISO_4-39.1H,R1,740,180,5,36,148
Pythium aff. perplexum,Set_5-3,WISO_4-39.1H,R2,680,170,5,34,136
Pythium aff. perplexum,Set_5-3,WISO_4-39.1H,R3,510,120,5,24,102
CONTROL_NR,Set_5-3,CONTROL_NR,R1,1060,370,5,74,212
CONTROL_NR,Set_5-3,CONTROL_NR,R2,1060,380,5,76,212
CONTROL_NR,Set_5-3,CONTROL_NR,R3,950,290,5,58,190
Pythium pleroticum,Set_6-3,C-ARSO2_3-13,R1,740,350,5,70,148
Pythium pleroticum,Set_6-3,C-ARSO2_3-13,R2,890,330,5,66,178
Pythium pleroticum,Set_6-3,C-ARSO2_3-13,R3,860,340,5,68,172
Pythium amasculinum,Set_6-3,C-ARSO2_4-4,R1,790,340,5,68,158
Pythium amasculinum,Set_6-3,C-ARSO2_4-4,R2,890,290,5,58,178
Pythium amasculinum,Set_6-3,C-ARSO2_4-4,R3,660,250,5,50,132
Pythium coloratum,Set_6-3,C-ILSO2_5-22,R1,740,210,5,42,148
Pythium coloratum,Set_6-3,C-ILSO2_5-22,R2,750,250,5,50,150
Pythium coloratum,Set_6-3,C-ILSO2_5-22,R3,720,240,5,48,144
Pythium nunn,Set_6-3,C-INSO2_6-13,R1,930,430,5,86,186
Pythium nunn,Set_6-3,C-INSO2_6-13,R2,930,280,5,56,186
Pythium nunn,Set_6-3,C-INSO2_6-13,R3,870,290,5,58,174
Pythium coloratum,Set_6-3,C-MISO2_2-12,R1,890,300,5,60,178
Pythium coloratum,Set_6-3,C-MISO2_2-12,R2,790,330,5,66,158
Pythium coloratum,Set_6-3,C-MISO2_2-12,R3,750,270,5,54,150
Pythium coloratum,Set_6-3,C-MNSO2_3-2,R1,980,330,5,66,196
Pythium coloratum,Set_6-3,C-MNSO2_3-2,R2,930,400,5,80,186
Pythium coloratum,Set_6-3,C-MNSO2_3-2,R3,940,340,5,68,188
Pythium pachycaule,Set_6-3,C-MNSO2_4-4,R1,870,340,5,68,174
Pythium pachycaule,Set_6-3,C-MNSO2_4-4,R2,860,360,5,72,172
Pythium pachycaule,Set_6-3,C-MNSO2_4-4,R3,730,300,5,60,146
Pythium amasculinum,Set_6-3,C-MNSO2_5-12,R1,680,250,5,50,136
Pythium amasculinum,Set_6-3,C-MNSO2_5-12,R2,1040,380,5,76,208
Pythium amasculinum,Set_6-3,C-MNSO2_5-12,R3,910,360,5,72,182
Pythium pachycaule,Set_6-3,C-NESO2_5-17,R1,840,350,5,70,168
Pythium pachycaule,Set_6-3,C-NESO2_5-17,R2,750,260,5,52,150
Pythium pachycaule,Set_6-3,C-NESO2_5-17,R3,930,410,5,82,186
Pythium aphanidermatum,Set_6-3,C-NESO2_6-2,R1,770,280,5,56,154
Pythium aphanidermatum,Set_6-3,C-NESO2_6-2,R2,910,350,5,70,182
Pythium aphanidermatum,Set_6-3,C-NESO2_6-2,R3,890,370,5,74,178
Pythium intermedium,Set_6-3,C-SDSO2_5-35,R1,750,350,5,70,150
Pythium intermedium,Set_6-3,C-SDSO2_5-35,R2,820,330,5,66,164
Pythium intermedium,Set_6-3,C-SDSO2_5-35,R3,900,450,5,90,180
Pythium orthogonon,Set_6-3,C-SDSO2_6-2,R1,910,310,5,62,182
Pythium orthogonon,Set_6-3,C-SDSO2_6-2,R2,480,150,5,30,96
Pythium orthogonon,Set_6-3,C-SDSO2_6-2,R3,740,170,5,34,148
CONTROL,Set_6-3,CONTROL,R1,870,420,5,84,174
CONTROL,Set_6-3,CONTROL,R2,910,320,5,64,182
CONTROL,Set_6-3,CONTROL,R3,980,360,5,72,196
Pythium conidiophorum,Set_6-3,IASO_10-37.7H,R1,910,220,5,44,182
Pythium conidiophorum,Set_6-3,IASO_10-37.7H,R2,700,270,5,54,140
Pythium conidiophorum,Set_6-3,IASO_10-37.7H,R3,760,310,5,62,152
Pythium pachycaule,Set_6-3,IASO_8-30.4RD,R1,700,270,5,54,140
Pythium pachycaule,Set_6-3,IASO_8-30.4RD,R2,520,110,5,22,104
Pythium pachycaule,Set_6-3,IASO_8-30.4RD,R3,970,420,5,84,194
Pythium sp. balticum,Set_6-3,ILSO_5-1A,R1,670,230,5,46,134
Pythium sp. balticum,Set_6-3,ILSO_5-1A,R2,800,300,5,60,160
Pythium sp. balticum,Set_6-3,ILSO_5-1A,R3,540,300,5,60,108
Pythium aphanidermatum,Set_6-3,ILSO_6-13C_1,R1,540,220,5,44,108
Pythium aphanidermatum,Set_6-3,ILSO_6-13C_1,R2,720,260,5,52,144
Pythium aphanidermatum,Set_6-3,ILSO_6-13C_1,R3,560,200,5,40,112
Pythium sp. balticum,Set_6-3,INSO_2-47,R1,680,290,5,58,136
Pythium sp. balticum,Set_6-3,INSO_2-47,R2,800,360,5,72,160
Pythium sp. balticum,Set_6-3,INSO_2-47,R3,740,330,5,66,148
Pythium pleroticum,Set_6-3,INSO_3-10,R1,730,360,5,72,146
Pythium pleroticum,Set_6-3,INSO_3-10,R2,910,320,5,64,182
Pythium pleroticum,Set_6-3,INSO_3-10,R3,920,350,5,70,184
Pythium aphanidermatum,Set_6-3,INSO_4-33,R1,730,310,5,62,146
Pythium aphanidermatum,Set_6-3,INSO_4-33,R2,750,320,5,64,150
Pythium aphanidermatum,Set_6-3,INSO_4-33,R3,650,300,5,60,130
Pythium amasculinum,Set_6-3,KSSO_4-31,R1,880,390,5,78,176
Pythium amasculinum,Set_6-3,KSSO_4-31,R2,660,280,5,56,132
Pythium amasculinum,Set_6-3,KSSO_4-31,R3,580,280,5,56,116
Pythium orthogonon,Set_6-3,KSSO_5-44,R1,700,290,5,58,140
Pythium orthogonon,Set_6-3,KSSO_5-44,R2,720,290,5,58,144
Pythium orthogonon,Set_6-3,KSSO_5-44,R3,840,400,5,80,168
Pythium sp. balticum,Set_6-3,MISO_10-33,R1,890,380,5,76,178
Pythium sp. balticum,Set_6-3,MISO_10-33,R2,700,340,5,68,140
Pythium sp. balticum,Set_6-3,MISO_10-33,R3,710,340,5,68,142
Pythium pleroticum,Set_6-3,MNSO_2-10,R1,830,330,5,66,166
Pythium pleroticum,Set_6-3,MNSO_2-10,R2,660,300,5,60,132
Pythium pleroticum,Set_6-3,MNSO_2-10,R3,870,320,5,64,174
Pythium orthogonon,Set_6-3,NDSO_4-17,R1,790,250,5,50,158
Pythium orthogonon,Set_6-3,NDSO_4-17,R2,730,320,5,64,146
Pythium orthogonon,Set_6-3,NDSO_4-17,R3,760,270,5,54,152
Pythium intermedium,Set_6-3,NDSO_5-35,R1,780,270,5,54,156
Pythium intermedium,Set_6-3,NDSO_5-35,R2,610,210,5,42,122
Pythium intermedium,Set_6-3,NDSO_5-35,R3,710,350,5,70,142
Pythium conidiophorum,Set_6-3,V-ILSO2_5-55,R1,720,270,5,54,144
Pythium conidiophorum,Set_6-3,V-ILSO2_5-55,R2,880,280,5,56,176
Pythium conidiophorum,Set_6-3,V-ILSO2_5-55,R3,740,190,5,38,148
Pythium nunn,Set_6-3,V-KSSO2_6-7,R1,730,230,5,46,146
Pythium nunn,Set_6-3,V-KSSO2_6-7,R2,800,330,5,66,160
Pythium nunn,Set_6-3,V-KSSO2_6-7,R3,960,350,5,70,192
Pythium intermedium,Set_6-3,V-MNSO2_6-60,R1,370,100,5,20,74
Pythium intermedium,Set_6-3,V-MNSO2_6-60,R2,500,120,5,24,100
Pythium intermedium,Set_6-3,V-MNSO2_6-60,R3,470,80,5,16,94
Pythium conidiophorum,Set_6-3,V-NESO2_2-41,R1,390,170,5,34,78
Pythium conidiophorum,Set_6-3,V-NESO2_2-41,R2,600,200,5,40,120
Pythium conidiophorum,Set_6-3,V-NESO2_2-41,R3,740,250,5,50,148
Pythium nunn,Set_6-3,V-SDSO2_4-65,R1,690,280,5,56,138
Pythium nunn,Set_6-3,V-SDSO2_4-65,R2,590,290,5,58,118
Pythium nunn,Set_6-3,V-SDSO2_4-65,R3,690,200,5,40,138
CONTROL_NR,Set_6-3,CONTROL_NR,R1,860,350,5,70,172
CONTROL_NR,Set_6-3,CONTROL_NR,R2,900,440,5,88,180
CONTROL_NR,Set_6-3,CONTROL_NR,R3,800,390,5,78,160
Pythium coloratum,Set_6-1,C-ILSO2_5-22,R1,570,140,5,28,114
Pythium coloratum,Set_6-1,C-ILSO2_5-22,R2,390,90,5,18,78
Pythium coloratum,Set_6-1,C-ILSO2_5-22,R3,610,180,5,36,122
Pythium coloratum,Set_6-2,C-ILSO2_5-22,R1,730,280,5,56,146
Pythium coloratum,Set_6-2,C-ILSO2_5-22,R2,600,180,5,36,120
Pythium coloratum,Set_6-2,C-ILSO2_5-22,R3,770,170,5,34,154
Pythium spinosum,Set_7-1,AR_96.S.2.1.A,R1,720,230,5,46,144
Pythium spinosum,Set_7-1,AR_96.S.2.1.A,R2,760,190,5,38,152
Pythium spinosum,Set_7-1,AR_96.S.2.1.A,R3,770,240,5,48,154
Pythium paroecandrum,Set_7-1,AR.171_S.1.2.A,R1,690,290,5,58,138
Pythium paroecandrum,Set_7-1,AR.171_S.1.2.A,R2,620,210,5,42,124
Pythium paroecandrum,Set_7-1,AR.171_S.1.2.A,R3,860,370,5,74,172
Pythium paroecandrum,Set_7-1,C-ARSO2_5-15,R1,960,330,5,66,192
Pythium paroecandrum,Set_7-1,C-ARSO2_5-15,R2,720,220,5,44,144
Pythium paroecandrum,Set_7-1,C-ARSO2_5-15,R3,900,300,5,60,180
Pythium rostratifingens,Set_7-1,C-IASO2_1-13,R1,720,220,5,44,144
Pythium rostratifingens,Set_7-1,C-IASO2_1-13,R2,790,330,5,66,158
Pythium rostratifingens,Set_7-1,C-IASO2_1-13,R3,770,360,5,72,154
Pythium ultimum,Set_7-1,C-ILSO2_3-25,R1,590,50,5,10,118
Pythium ultimum,Set_7-1,C-ILSO2_3-25,R2,380,10,5,2,76
Pythium ultimum,Set_7-1,C-ILSO2_3-25,R3,630,50,5,10,126
Pythium inflatum,Set_7-1,C-ILSO2_5-5,R1,860,340,5,68,172
Pythium inflatum,Set_7-1,C-ILSO2_5-5,R2,820,340,5,68,164
Pythium inflatum,Set_7-1,C-ILSO2_5-5,R3,850,300,5,60,170
Pythium inflatum,Set_7-1,C-KSSO2_1-18,R1,890,260,5,52,178
